
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
2.460	-0.122	-0.873	43.633	-0.0029	-0.021	1.042	2.460	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.460	0.070	0.000	-43.633	0.0017	0.000	-1.042	2.460	0.052	0.000	0.000	0.0012	0.000	0.000	2.460	0.087	-0.873	-43.633	0.0021	-0.021	-1.042	2.460	0.000	0.000	43.633	0.0000	0.000	1.042	1.230	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	4.920	0.070	0.000	0.000	0.0017	0.000	0.000	0.984	0.052	0.000	0.000	0.0012	0.000	0.000	2.460	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.246	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.460	0.035	-0.873	-43.633	8.3333E-4	-0.021	-1.042	2.460	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.460	0.035	0.000	1.110E-14	8.3333E-4	0.000	-3.469E-16	2.460	-0.122	0.873	-43.633	-0.0029	0.021	-1.042	2.460	-0.157	-0.873	43.633	-0.0037	-0.021	1.042	2.460	0.244	-0.873	-6.661E-14	0.0058	-0.021	0.000	2.460	0.349	-0.873	0.000	0.0083	-0.021	-4.337E-15	2.460	0.436	-0.873	1.388E-13	0.0104	-0.021	-4.337E-15	2.460	0.524	0.000	-43.633	0.0125	0.000	-1.042
2.470	-0.122	-0.873	-43.633	-0.0029	-0.021	-1.042	2.470	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.470	0.070	-0.873	-43.633	0.0017	-0.021	-1.042	2.470	0.052	0.000	0.000	0.0012	0.000	0.000	2.470	0.070	-0.873	43.633	0.0017	-0.021	1.042	2.470	0.000	0.873	43.633	0.0000	0.021	1.042	1.235	-0.035	0.000	174.533	-8.3333E-4	0.000	4.167	4.940	0.070	0.000	0.000	0.0017	0.000	0.000	0.988	0.052	0.000	0.000	0.0012	0.000	0.000	2.470	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.247	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.470	0.017	-0.873	43.633	4.1667E-4	-0.021	1.042	2.470	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.470	0.035	0.873	43.633	8.3333E-4	0.021	1.042	2.470	-0.122	0.000	0.000	-0.0029	0.000	0.000	2.470	-0.157	0.000	43.633	-0.0037	0.000	1.042	2.470	0.227	-0.873	43.633	0.0054	-0.021	1.042	2.470	0.332	-0.873	43.633	0.0079	-0.021	1.042	2.470	0.436	-0.873	1.388E-13	0.0104	-0.021	-4.337E-15	2.470	0.524	-0.873	-43.633	0.0125	-0.021	-1.042
2.480	-0.140	-1.745	-3.331E-14	-0.0033	-0.042	0.000	2.480	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.480	0.052	-0.873	43.633	0.0012	-0.021	1.042	2.480	0.052	0.000	0.000	0.0012	0.000	0.000	2.480	0.070	0.000	43.633	0.0017	0.000	1.042	2.480	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	1.240	-0.035	1.745	174.533	-8.3333E-4	0.042	4.167	4.960	0.070	0.000	0.000	0.0017	0.000	0.000	0.992	0.052	0.000	0.000	0.0012	0.000	0.000	2.480	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.248	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.480	0.017	0.000	43.633	4.1667E-4	0.000	1.042	2.480	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.480	0.052	0.873	-1.665E-14	0.0012	0.021	5.204E-16	2.480	-0.122	0.873	43.633	-0.0029	0.021	1.042	2.480	-0.157	0.000	0.000	-0.0037	0.000	0.000	2.480	0.227	0.000	6.661E-14	0.0054	0.000	0.000	2.480	0.332	0.000	1.388E-13	0.0079	0.000	4.337E-15	2.480	0.419	-0.873	-1.388E-13	0.0100	-0.021	4.337E-15	2.480	0.506	-0.873	-1.388E-13	0.0121	-0.021	-4.337E-15
2.490	-0.157	-0.873	43.633	-0.0037	-0.021	1.042	2.490	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.490	0.052	0.000	43.633	0.0012	0.000	1.042	2.490	0.052	0.000	0.000	0.0012	0.000	0.000	2.490	0.070	0.000	0.000	0.0017	0.000	0.000	2.490	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	1.245	-0.017	1.745	-174.533	-4.1667E-4	0.042	-4.167	4.980	0.070	0.000	-10.908	0.0017	0.000	-0.260	0.996	0.052	0.000	0.000	0.0012	0.000	0.000	2.490	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.249	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.490	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.490	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.490	0.052	0.873	-1.665E-14	0.0012	0.021	5.204E-16	2.490	-0.105	0.873	-43.633	-0.0025	0.021	-1.042	2.490	-0.157	0.000	0.000	-0.0037	0.000	0.000	2.490	0.227	-0.873	-43.633	0.0054	-0.021	-1.042	2.490	0.332	-0.873	-43.633	0.0079	-0.021	-1.042	2.490	0.419	-0.873	-1.388E-13	0.0100	-0.021	4.337E-15	2.490	0.506	-0.873	-1.388E-13	0.0121	-0.021	-4.337E-15
2.500	-0.157	-0.873	-43.633	-0.0037	-0.021	-1.042	2.500	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.500	0.052	0.000	0.000	0.0012	0.000	0.000	2.500	0.052	0.000	0.000	0.0012	0.000	0.000	2.500	0.070	0.000	0.000	0.0017	0.000	0.000	2.500	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.250	-0.017	0.000	-174.533	-4.1667E-4	0.000	-4.167	5.000	0.070	-0.436	-10.908	0.0017	-0.010	-0.260	1.000	0.052	0.000	0.000	0.0012	0.000	0.000	2.500	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.250	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.500	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.500	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.500	0.070	0.873	-43.633	0.0017	0.021	-1.042	2.500	-0.105	0.000	3.331E-14	-0.0025	0.000	-1.041E-15	2.500	-0.157	0.000	-43.633	-0.0037	0.000	-1.042	2.500	0.209	-0.873	-6.661E-14	0.0050	-0.021	2.082E-15	2.500	0.314	-0.873	-1.388E-13	0.0075	-0.021	-2.082E-15	2.500	0.401	-0.873	0.000	0.0096	-0.021	0.000	2.500	0.489	-0.873	43.633	0.0117	-0.021	1.042
2.510	-0.175	-1.745	-6.661E-14	-0.0042	-0.042	0.000	2.510	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.510	0.052	0.000	0.000	0.0012	0.000	0.000	2.510	0.052	0.000	0.000	0.0012	0.000	0.000	2.510	0.070	0.000	0.000	0.0017	0.000	0.000	2.510	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.255	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.020	0.052	-0.436	10.908	0.0012	-0.010	0.260	1.004	0.052	0.000	0.000	0.0012	0.000	0.000	2.510	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.251	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.510	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.510	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.510	0.070	0.000	0.000	0.0017	0.000	0.000	2.510	-0.105	0.873	43.633	-0.0025	0.021	1.042	2.510	-0.157	-0.873	-43.633	-0.0037	-0.021	-1.042	2.510	0.209	-0.873	-6.661E-14	0.0050	-0.021	2.082E-15	2.510	0.314	-0.873	-1.388E-13	0.0075	-0.021	-2.082E-15	2.510	0.401	-0.873	0.000	0.0096	-0.021	0.000	2.510	0.489	0.000	0.000	0.0117	0.000	4.337E-15
2.520	-0.192	-0.873	43.633	-0.0046	-0.021	1.042	2.520	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.520	0.052	0.000	0.000	0.0012	0.000	0.000	2.520	0.052	0.000	0.000	0.0012	0.000	0.000	2.520	0.070	0.000	0.000	0.0017	0.000	0.000	2.520	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.260	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.040	0.052	0.000	10.908	0.0012	0.000	0.260	1.008	0.052	0.000	0.000	0.0012	0.000	0.000	2.520	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.252	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.520	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.520	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.520	0.070	0.873	43.633	0.0017	0.021	1.042	2.520	-0.087	0.873	-43.633	-0.0021	0.021	-1.042	2.520	-0.175	-0.873	43.633	-0.0042	-0.021	1.042	2.520	0.192	-0.873	0.000	0.0046	-0.021	-2.082E-15	2.520	0.297	-0.873	0.000	0.0071	-0.021	0.000	2.520	0.384	-0.873	0.000	0.0092	-0.021	-4.337E-15	2.520	0.489	-0.873	-43.633	0.0117	-0.021	-1.042
2.530	-0.192	-0.873	0.000	-0.0046	-0.021	2.082E-15	2.530	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.530	0.052	0.000	0.000	0.0012	0.000	0.000	2.530	0.052	0.000	0.000	0.0012	0.000	0.000	2.530	0.070	0.000	0.000	0.0017	0.000	0.000	2.530	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.265	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.060	0.052	0.000	0.000	0.0012	0.000	0.000	1.012	0.052	0.000	0.000	0.0012	0.000	0.000	2.530	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.253	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.530	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.530	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.530	0.087	0.873	3.331E-14	0.0021	0.021	-1.041E-15	2.530	-0.087	0.000	-3.331E-14	-0.0021	0.000	1.041E-15	2.530	-0.175	0.000	43.633	-0.0042	0.000	1.042	2.530	0.192	-0.873	0.000	0.0046	-0.021	-2.082E-15	2.530	0.297	-0.873	0.000	0.0071	-0.021	0.000	2.530	0.384	-0.873	0.000	0.0092	-0.021	-4.337E-15	2.530	0.471	-0.873	0.000	0.0112	-0.021	-4.337E-15
2.540	-0.209	-0.873	6.661E-14	-0.0050	-0.021	-2.082E-15	2.540	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.540	0.052	0.000	-43.633	0.0012	0.000	-1.042	2.540	0.052	0.000	0.000	0.0012	0.000	0.000	2.540	0.070	0.000	0.000	0.0017	0.000	0.000	2.540	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.270	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.080	0.052	0.000	-10.908	0.0012	0.000	-0.260	1.016	0.052	0.000	0.000	0.0012	0.000	0.000	2.540	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.254	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.540	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.540	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.540	0.087	0.873	3.331E-14	0.0021	0.021	-1.041E-15	2.540	-0.087	0.873	43.633	-0.0021	0.021	1.042	2.540	-0.175	0.000	0.000	-0.0042	0.000	0.000	2.540	0.175	-0.873	43.633	0.0042	-0.021	1.042	2.540	0.279	-0.873	0.000	0.0067	-0.021	0.000	2.540	0.367	-0.873	0.000	0.0087	-0.021	4.337E-15	2.540	0.471	-0.873	0.000	0.0112	-0.021	-4.337E-15
2.550	-0.209	-0.873	-8.993E-13	-0.0050	-0.021	-2.533E-14	2.550	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.550	0.052	-0.873	-43.633	0.0012	-0.021	-1.042	2.550	0.052	0.000	0.000	0.0012	0.000	0.000	2.550	0.070	0.000	-43.633	0.0017	0.000	-1.042	2.550	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.275	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.100	0.052	-0.436	-10.908	0.0012	-0.010	-0.260	1.020	0.052	0.000	0.000	0.0012	0.000	0.000	2.550	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.255	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.550	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	2.550	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.550	0.105	0.873	-43.633	0.0025	0.021	-1.042	2.550	-0.070	0.873	-43.633	-0.0017	0.021	-1.042	2.550	-0.175	0.000	0.000	-0.0042	0.000	0.000	2.550	0.175	0.000	-8.993E-13	0.0042	0.000	-2.325E-14	2.550	0.279	-0.873	-9.714E-13	0.0067	-0.021	-2.325E-14	2.550	0.367	-0.873	-9.714E-13	0.0087	-0.021	-1.874E-14	2.550	0.454	-0.873	-9.714E-13	0.0108	-0.021	-1.874E-14
2.560	-0.227	-0.873	-6.661E-14	-0.0054	-0.021	0.000	2.560	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.560	0.035	-0.873	43.633	8.3333E-4	-0.021	1.042	2.560	0.052	0.000	0.000	0.0012	0.000	0.000	2.560	0.070	-0.873	-43.633	0.0017	-0.021	-1.042	2.560	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.280	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.120	0.035	-0.436	10.908	8.3333E-4	-0.010	0.260	1.024	0.052	0.000	0.000	0.0012	0.000	0.000	2.560	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.256	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.560	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	2.560	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.560	0.105	0.000	-3.331E-14	0.0025	0.000	1.041E-15	2.560	-0.070	0.000	0.000	-0.0017	0.000	0.000	2.560	-0.175	0.000	0.000	-0.0042	0.000	0.000	2.560	0.175	-0.873	-43.633	0.0042	-0.021	-1.042	2.560	0.262	-0.873	6.661E-14	0.0062	-0.021	0.000	2.560	0.349	-0.873	0.000	0.0083	-0.021	-4.337E-15	2.560	0.454	-0.873	0.000	0.0108	-0.021	4.337E-15
2.570	-0.227	-0.873	8.993E-13	-0.0054	-0.021	2.325E-14	2.570	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.570	0.035	0.000	43.633	8.3333E-4	0.000	1.042	2.570	0.052	0.000	0.000	0.0012	0.000	0.000	2.570	0.052	-0.873	43.633	0.0012	-0.021	1.042	2.570	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.285	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.140	0.035	0.000	10.908	8.3333E-4	0.000	0.260	1.028	0.052	0.000	0.000	0.0012	0.000	0.000	2.570	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.257	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.570	0.000	-0.873	43.633	0.0000	-0.021	1.042	2.570	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.570	0.105	0.873	43.633	0.0025	0.021	1.042	2.570	-0.070	0.873	43.633	-0.0017	0.021	1.042	2.570	-0.175	0.000	0.000	-0.0042	0.000	0.000	2.570	0.157	-0.873	8.993E-13	0.0037	-0.021	2.325E-14	2.570	0.262	-0.873	1.038E-12	0.0062	-0.021	2.325E-14	2.570	0.349	-0.873	9.714E-13	0.0083	-0.021	1.874E-14	2.570	0.436	-0.873	1.110E-12	0.0104	-0.021	1.874E-14
2.580	-0.244	-0.873	6.661E-14	-0.0058	-0.021	0.000	2.580	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.580	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.580	0.052	0.000	0.000	0.0012	0.000	0.000	2.580	0.052	0.000	43.633	0.0012	0.000	1.042	2.580	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.290	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.160	0.035	0.000	-10.908	8.3333E-4	0.000	-0.260	1.032	0.052	0.000	0.000	0.0012	0.000	0.000	2.580	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.258	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.580	0.000	0.000	43.633	0.0000	0.000	1.042	2.580	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.580	0.122	0.873	-43.633	0.0029	0.021	-1.042	2.580	-0.052	0.873	-43.633	-0.0012	0.021	-1.042	2.580	-0.175	0.000	0.000	-0.0042	0.000	0.000	2.580	0.157	-0.873	-6.661E-14	0.0037	-0.021	0.000	2.580	0.244	-0.873	-6.661E-14	0.0058	-0.021	0.000	2.580	0.332	-0.873	1.388E-13	0.0079	-0.021	4.337E-15	2.580	0.436	-0.873	1.388E-13	0.0104	-0.021	-4.337E-15
2.590	-0.244	-0.873	6.661E-14	-0.0058	-0.021	0.000	2.590	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.590	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.590	0.052	0.000	0.000	0.0012	0.000	0.000	2.590	0.052	0.000	0.000	0.0012	0.000	0.000	2.590	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.295	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.180	0.035	-0.436	-10.908	8.3333E-4	-0.010	-0.260	1.036	0.052	0.000	0.000	0.0012	0.000	0.000	2.590	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.259	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.590	0.000	0.000	0.000	0.0000	0.000	0.000	2.590	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.590	0.122	0.000	-43.633	0.0029	0.000	-1.042	2.590	-0.052	0.000	1.665E-14	-0.0012	0.000	-5.204E-16	2.590	-0.175	0.000	0.000	-0.0042	0.000	0.000	2.590	0.140	-0.873	3.331E-14	0.0033	-0.021	0.000	2.590	0.244	-0.873	-6.661E-14	0.0058	-0.021	0.000	2.590	0.332	-0.873	1.388E-13	0.0079	-0.021	4.337E-15	2.590	0.419	-0.873	-1.388E-13	0.0100	-0.021	4.337E-15
2.600	-0.262	-0.873	43.633	-0.0062	-0.021	1.042	2.600	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.600	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.600	0.052	0.000	0.000	0.0012	0.000	0.000	2.600	0.052	0.000	0.000	0.0012	0.000	0.000	2.600	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.300	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.200	0.017	-0.436	10.908	4.1667E-4	-0.010	0.260	1.040	0.052	0.000	0.000	0.0012	0.000	0.000	2.600	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.260	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.600	0.000	0.000	0.000	0.0000	0.000	0.000	2.600	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.600	0.122	0.000	43.633	0.0029	0.000	1.042	2.600	-0.052	0.873	43.633	-0.0012	0.021	1.042	2.600	-0.175	0.000	-43.633	-0.0042	0.000	-1.042	2.600	0.140	-0.873	3.331E-14	0.0033	-0.021	0.000	2.600	0.227	-0.873	6.661E-14	0.0054	-0.021	0.000	2.600	0.314	-0.873	-1.388E-13	0.0075	-0.021	-2.082E-15	2.600	0.419	-0.873	-1.388E-13	0.0100	-0.021	4.337E-15
2.610	-0.262	0.000	-6.661E-14	-0.0062	0.000	0.000	2.610	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.610	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.610	0.052	0.000	0.000	0.0012	0.000	0.000	2.610	0.052	0.000	0.000	0.0012	0.000	0.000	2.610	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.305	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.220	0.017	0.000	10.908	4.1667E-4	0.000	0.260	1.044	0.052	0.000	0.000	0.0012	0.000	0.000	2.610	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.261	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.610	0.000	0.000	0.000	0.0000	0.000	0.000	2.610	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.610	0.122	0.873	43.633	0.0029	0.021	1.042	2.610	-0.035	0.873	-43.633	-8.3333E-4	0.021	-1.042	2.610	-0.175	-0.873	-43.633	-0.0042	-0.021	-1.042	2.610	0.122	-0.873	0.000	0.0029	-0.021	0.000	2.610	0.227	-0.873	6.661E-14	0.0054	-0.021	0.000	2.610	0.314	-0.873	-43.633	0.0075	-0.021	-1.042	2.610	0.401	-0.873	0.000	0.0096	-0.021	0.000
2.620	-0.262	-0.873	-43.633	-0.0062	-0.021	-1.042	2.620	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.620	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.620	0.052	0.000	0.000	0.0012	0.000	0.000	2.620	0.052	0.000	0.000	0.0012	0.000	0.000	2.620	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.310	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.240	0.017	0.000	-10.908	4.1667E-4	0.000	-0.260	1.048	0.052	0.000	0.000	0.0012	0.000	0.000	2.620	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.262	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.620	0.000	0.000	0.000	0.0000	0.000	0.000	2.620	0.035	0.000	0.000	8.3333E-4	0.000	0.000	2.620	0.140	0.873	-43.633	0.0033	0.021	-1.042	2.620	-0.035	0.000	-1.110E-14	-8.3333E-4	0.000	3.469E-16	2.620	-0.192	-0.873	43.633	-0.0046	-0.021	1.042	2.620	0.122	-0.873	0.000	0.0029	-0.021	0.000	2.620	0.209	-0.873	-6.661E-14	0.0050	-0.021	2.082E-15	2.620	0.297	-1.745	0.000	0.0071	-0.042	0.000	2.620	0.401	-0.873	0.000	0.0096	-0.021	0.000
2.630	-0.279	-0.873	43.633	-0.0067	-0.021	1.042	2.630	-0.052	0.000	0.000	-0.0012	0.000	0.000	2.630	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	2.630	0.052	0.000	0.000	0.0012	0.000	0.000	2.630	0.052	0.000	0.000	0.0012	0.000	0.000	2.630	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.315	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.260	0.017	-0.436	-10.908	4.1667E-4	-0.010	-0.260	1.052	0.052	0.000	0.000	0.0012	0.000	0.000	2.630	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.263	0.017	0.000	0.000	4.1667E-4	0.000	0.000	2.630	0.000	0.000	0.000	0.0000	0.000	0.000	2.630	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	2.630	0.140	0.000	-43.633	0.0033	0.000	-1.042	2.630	-0.035	0.873	43.633	-8.3333E-4	0.021	1.042	2.630	-0.192	0.000	43.633	-0.0046	0.000	1.042	2.630	0.105	-0.873	-3.331E-14	0.0025	-0.021	1.041E-15	2.630	0.209	-0.873	-6.661E-14	0.0050	-0.021	2.082E-15	2.630	0.279	-0.873	43.633	0.0067	-0.021	1.042	2.630	0.384	-0.873	0.000	0.0092	-0.021	-4.337E-15
