
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
0.220	0.000	0.000	0.000	0.0000	0.000	0.000	0.220	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.044	0.000	0.000	0.000	0.0000	0.000	0.000	2.200	-0.140	-0.873	-2.182	-0.0033	-0.021	-0.052	2.200	-0.192	-0.873	-0.873	-0.0046	-0.021	-0.021
0.230	0.000	0.000	0.000	0.0000	0.000	0.000	0.230	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.046	0.000	0.000	0.000	0.0000	0.000	0.000	2.300	-0.244	-1.047	-0.436	-0.0058	-0.025	-0.010	2.300	-0.279	-0.960	-9.437E-15	-0.0067	-0.023	-2.082E-16
0.240	0.000	0.000	0.000	0.0000	0.000	0.000	0.240	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.048	0.000	0.000	0.000	0.0000	0.000	0.000	2.400	-0.349	-0.960	1.309	-0.0083	-0.023	0.031	2.400	-0.384	-0.873	2.182	-0.0092	-0.021	0.052
0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.050	0.000	0.000	0.000	0.0000	0.000	0.000	2.500	-0.436	-0.785	2.182	-0.0104	-0.019	0.052	2.500	-0.454	-0.524	3.054	-0.0108	-0.013	0.073
0.260	0.000	0.000	0.000	0.0000	0.000	0.000	0.260	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.052	0.000	0.000	0.000	0.0000	0.000	0.000	2.600	-0.506	-0.524	3.491	-0.0121	-0.012	0.083	2.600	-0.489	-0.262	3.054	-0.0117	-0.006	0.073
0.270	0.000	0.000	0.000	0.0000	0.000	0.000	0.270	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.054	0.000	0.000	0.000	0.0000	0.000	0.000	2.700	-0.541	-0.087	3.927	-0.0129	-0.002	0.094	2.700	-0.506	0.087	3.927	-0.0121	0.002	0.094
0.280	0.000	0.000	0.000	0.0000	0.000	0.000	0.280	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.056	0.000	0.000	0.000	0.0000	0.000	0.000	2.800	-0.524	0.262	3.491	-0.0125	0.006	0.083	2.800	-0.471	0.524	3.491	-0.0112	0.012	0.083
0.290	0.000	0.000	0.000	0.0000	0.000	0.000	0.290	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.058	0.000	0.000	0.000	0.0000	0.000	0.000	2.900	-0.489	0.611	3.491	-0.0117	0.015	0.083	2.900	-0.401	0.785	1.745	-0.0096	0.019	0.042
0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.060	0.000	0.000	0.000	0.0000	0.000	0.000	3.000	-0.401	0.960	1.745	-0.0096	0.023	0.042	3.000	-0.314	0.873	0.436	-0.0075	0.021	0.010
0.310	0.000	0.000	0.000	0.0000	0.000	0.000	0.310	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.062	0.000	0.000	0.000	0.0000	0.000	0.000	3.100	-0.297	0.960	-1.055E-14	-0.0071	0.023	-2.255E-16	3.100	-0.227	0.873	-0.436	-0.0054	0.021	-0.010
0.320	0.000	0.000	0.000	0.0000	0.000	0.000	0.320	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.064	0.000	0.000	0.000	0.0000	0.000	0.000	3.200	-0.209	0.960	-0.873	-0.0050	0.023	-0.021	3.200	-0.140	0.785	-1.745	-0.0033	0.019	-0.042
0.330	0.000	0.000	0.000	0.0000	0.000	0.000	0.330	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.066	0.000	0.000	0.000	0.0000	0.000	0.000	3.300	-0.105	0.785	-2.618	-0.0025	0.019	-0.062	3.300	-0.070	0.524	-2.618	-0.0017	0.012	-0.062
0.340	0.000	0.000	0.000	0.0000	0.000	0.000	0.340	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.068	0.000	0.000	0.000	0.0000	0.000	0.000	3.400	-0.052	0.436	-3.054	-0.0012	0.010	-0.073	3.400	-0.035	0.262	-3.054	-8.3333E-4	0.006	-0.073
0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.070	0.000	0.000	0.000	0.0000	0.000	0.000	3.500	-0.017	0.175	-3.491	-4.1667E-4	0.004	-0.083	3.500	-0.017	-0.087	-3.491	-4.1667E-4	-0.002	-0.083
0.360	0.000	0.000	0.000	0.0000	0.000	0.000	0.360	-0.070	0.000	43.633	-0.0017	0.000	1.042	0.072	0.000	0.000	0.000	0.0000	0.000	0.000	3.600	-0.017	-0.262	-3.927	-4.1667E-4	-0.006	-0.094	3.600	-0.052	-0.436	-3.054	-0.0012	-0.010	-0.073
0.370	0.000	0.000	0.000	0.0000	0.000	0.000	0.370	-0.070	0.873	43.633	-0.0017	0.021	1.042	0.074	0.000	0.000	0.000	0.0000	0.000	0.000	3.700	-0.070	-0.611	-3.054	-0.0017	-0.015	-0.073	3.700	-0.105	-0.698	-2.182	-0.0025	-0.017	-0.052
0.380	0.000	0.000	0.000	0.0000	0.000	0.000	0.380	-0.052	0.873	-43.633	-0.0012	0.021	-1.042	0.076	0.000	0.000	0.000	0.0000	0.000	0.000	3.800	-0.140	-0.873	-2.182	-0.0033	-0.021	-0.052	3.800	-0.192	-0.873	-0.873	-0.0046	-0.021	-0.021
0.390	0.000	0.000	0.000	0.0000	0.000	0.000	0.390	-0.052	0.000	-43.633	-0.0012	0.000	-1.042	0.078	0.000	0.000	0.000	0.0000	0.000	0.000	3.900	-0.244	-1.047	-0.436	-0.0058	-0.025	-0.010	3.900	-0.279	-0.873	0.436	-0.0067	-0.021	0.010
0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.080	0.000	0.000	0.000	0.0000	0.000	0.000	4.000	-0.349	-0.960	1.309	-0.0083	-0.023	0.031	4.000	-0.367	-0.785	1.309	-0.0087	-0.019	0.031
0.410	0.000	0.000	0.000	0.0000	0.000	0.000	0.410	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.082	0.000	0.000	0.000	0.0000	0.000	0.000	4.100	-0.436	-0.785	2.618	-0.0104	-0.019	0.062	4.100	-0.436	-0.611	2.618	-0.0104	-0.015	0.062
0.420	0.000	0.000	0.000	0.0000	0.000	0.000	0.420	-0.052	0.000	43.633	-0.0012	0.000	1.042	0.084	0.000	0.000	0.000	0.0000	0.000	0.000	4.200	-0.506	-0.436	3.491	-0.0121	-0.010	0.083	4.200	-0.489	-0.262	3.927	-0.0117	-0.006	0.094
0.430	0.000	0.000	0.000	0.0000	0.000	0.000	0.430	-0.052	0.873	43.633	-0.0012	0.021	1.042	0.086	0.000	0.000	0.000	0.0000	0.000	0.000	4.300	-0.524	-0.087	3.491	-0.0125	-0.002	0.083	4.300	-0.489	0.175	3.491	-0.0117	0.004	0.083
0.440	0.000	0.000	0.000	0.0000	0.000	0.000	0.440	-0.035	0.873	-43.633	-8.3333E-4	0.021	-1.042	0.088	0.000	0.000	0.000	0.0000	0.000	0.000	4.400	-0.524	0.262	3.491	-0.0125	0.006	0.083	4.400	-0.454	0.436	2.618	-0.0108	0.010	0.063
0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042	0.090	0.000	0.000	0.000	0.0000	0.000	0.000	4.500	-0.471	0.611	3.054	-0.0112	0.015	0.073	4.500	-0.401	0.698	2.182	-0.0096	0.017	0.052
0.460	0.000	0.000	0.000	0.0000	0.000	0.000	0.460	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042	0.092	0.000	0.000	0.000	0.0000	0.000	0.000	4.600	-0.401	0.873	1.745	-0.0096	0.021	0.042	4.600	-0.314	0.873	0.873	-0.0075	0.021	0.021
0.470	0.000	0.000	0.000	0.0000	0.000	0.000	0.470	-0.035	0.873	43.633	-8.3333E-4	0.021	1.042	0.094	0.000	0.000	0.000	0.0000	0.000	0.000	4.700	-0.297	0.960	0.000	-0.0071	0.023	0.000	4.700	-0.227	0.873	-0.436	-0.0054	0.021	-0.010
0.480	0.000	0.000	0.000	0.0000	0.000	0.000	0.480	-0.017	0.873	-43.633	-4.1667E-4	0.021	-1.042	0.096	0.000	0.000	0.000	0.0000	0.000	0.000	4.800	-0.209	0.873	-0.873	-0.0050	0.021	-0.021	4.800	-0.140	0.785	-1.745	-0.0033	0.019	-0.042
0.490	0.000	0.000	0.000	0.0000	0.000	0.000	0.490	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	0.098	0.000	0.000	0.000	0.0000	0.000	0.000	4.900	-0.122	0.785	-1.745	-0.0029	0.019	-0.042	4.900	-0.070	0.524	-3.054	-0.0017	0.013	-0.073
0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	5.000	-0.052	0.524	-3.491	-0.0012	0.012	-0.083	5.000	-0.035	0.175	-3.491	-8.3333E-4	0.004	-0.083
0.510	0.000	0.000	0.000	0.0000	0.000	0.000	0.510	-0.017	0.873	43.633	-4.1667E-4	0.021	1.042	0.102	0.000	0.000	0.000	0.0000	0.000	0.000	5.100	-0.017	0.087	-3.927	-4.1667E-4	0.002	-0.094	5.100	-0.035	-0.175	-3.054	-8.3333E-4	-0.004	-0.073
0.520	0.000	0.000	0.000	0.0000	0.000	0.000	0.520	0.000	0.873	-43.633	0.0000	0.021	-1.042	0.104	0.000	0.000	0.000	0.0000	0.000	0.000	5.200	-0.035	-0.262	-3.491	-8.3333E-4	-0.006	-0.083	5.200	-0.070	-0.436	-2.182	-0.0017	-0.010	-0.052
0.530	0.000	0.000	0.000	0.0000	0.000	0.000	0.530	0.000	0.000	-43.633	0.0000	0.000	-1.042	0.106	0.000	0.000	0.000	0.0000	0.000	0.000	5.300	-0.070	-0.611	-3.054	-0.0017	-0.015	-0.073	5.300	-0.122	-0.611	-1.745	-0.0029	-0.015	-0.042
0.540	0.000	0.000	0.000	0.0000	0.000	0.000	0.540	0.000	0.000	43.633	0.0000	0.000	1.042	0.108	0.000	0.000	0.000	0.0000	0.000	0.000	5.400	-0.157	-0.873	-1.745	-0.0037	-0.021	-0.042	5.400	-0.192	-0.785	-1.309	-0.0046	-0.019	-0.031
0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.873	43.633	0.0000	0.021	1.042	0.110	0.000	0.000	0.000	0.0000	0.000	0.000	5.500	-0.244	-0.960	-0.436	-0.0058	-0.023	-0.010	5.500	-0.279	-0.873	1.776E-14	-0.0067	-0.021	4.163E-16
0.560	0.000	0.000	0.000	0.0000	0.000	0.000	0.560	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	0.112	0.000	0.000	0.000	0.0000	0.000	0.000	5.600	-0.349	-0.960	0.873	-0.0083	-0.023	0.021	5.600	-0.367	-0.785	1.745	-0.0087	-0.019	0.042
0.570	0.000	0.000	0.000	0.0000	0.000	0.000	0.570	0.017	0.000	2.442E-13	4.1667E-4	0.000	5.725E-15	0.114	0.000	0.000	0.000	0.0000	0.000	0.000	5.700	-0.436	-0.785	2.618	-0.0104	-0.019	0.062	5.700	-0.436	-0.524	3.054	-0.0104	-0.012	0.073
0.580	0.000	0.000	0.000	0.0000	0.000	0.000	0.580	0.017	0.873	43.633	4.1667E-4	0.021	1.042	0.116	0.000	0.000	0.000	0.0000	0.000	0.000	5.800	-0.506	-0.436	3.491	-0.0121	-0.010	0.083	5.800	-0.471	-0.175	3.491	-0.0112	-0.004	0.083
0.590	0.000	0.000	0.000	0.0000	0.000	0.000	0.590	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	0.118	0.000	0.000	0.000	0.0000	0.000	0.000	5.900	-0.524	-0.087	3.491	-0.0125	-0.002	0.083	5.900	-0.471	0.175	3.054	-0.0112	0.004	0.073
0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	0.035	0.000	1.110E-14	8.3333E-4	0.000	-3.469E-16	0.120	0.000	0.000	0.000	0.0000	0.000	0.000	6.000	-0.524	0.262	3.491	-0.0125	0.006	0.083	6.000	-0.436	0.436	2.182	-0.0104	0.010	0.052
0.610	0.000	0.000	0.000	0.0000	0.000	0.000	0.610	0.035	0.873	43.633	8.3333E-4	0.021	1.042	0.122	0.000	0.000	0.000	0.0000	0.000	0.000	6.100	-0.471	0.611	3.054	-0.0112	0.015	0.073	6.100	-0.384	0.611	1.745	-0.0092	0.015	0.042
0.620	0.000	0.000	0.000	0.0000	0.000	0.000	0.620	0.052	0.873	-43.633	0.0012	0.021	-1.042	0.124	0.000	0.000	0.000	0.0000	0.000	0.000	6.200	-0.401	0.873	1.745	-0.0096	0.021	0.042	6.200	-0.314	0.785	1.309	-0.0075	0.019	0.031
0.630	0.000	0.000	0.000	0.0000	0.000	0.000	0.630	0.052	0.000	-1.665E-14	0.0012	0.000	5.204E-16	0.126	0.000	0.000	0.000	0.0000	0.000	0.000	6.300	-0.297	0.960	1.943E-14	-0.0071	0.023	4.684E-16	6.300	-0.227	0.873	-0.436	-0.0054	0.021	-0.010
0.640	0.000	0.000	0.000	0.0000	0.000	0.000	0.640	0.052	0.873	43.633	0.0012	0.021	1.042	0.128	0.000	0.000	0.000	0.0000	0.000	0.000	6.400	-0.209	0.873	-0.873	-0.0050	0.021	-0.021	6.400	-0.140	0.698	-2.182	-0.0033	0.017	-0.052
0.650	0.000	0.000	0.000	0.0000	0.000	0.000	0.650	0.070	0.873	-43.633	0.0017	0.021	-1.042	0.130	0.000	0.000	0.000	0.0000	0.000	0.000	6.500	-0.122	0.785	-1.745	-0.0029	0.019	-0.042	6.500	-0.087	0.436	-2.618	-0.0021	0.010	-0.063
0.660	0.000	0.000	0.000	0.0000	0.000	0.000	0.660	0.070	0.000	0.000	0.0017	0.000	0.000	0.132	0.000	0.000	0.000	0.0000	0.000	0.000	6.600	-0.052	0.524	-3.491	-0.0012	0.012	-0.083	6.600	-0.052	0.175	-2.618	-0.0012	0.004	-0.062
0.670	0.000	0.000	0.000	0.0000	0.000	0.000	0.670	0.070	0.873	43.633	0.0017	0.021	1.042	0.134	0.000	0.000	0.000	0.0000	0.000	0.000	6.700	-0.017	0.087	-3.927	-4.1667E-4	0.002	-0.094	6.700	-0.052	-0.087	-2.618	-0.0012	-0.002	-0.062
0.680	0.000	0.000	0.000	0.0000	0.000	0.000	0.680	0.087	0.873	-43.633	0.0021	0.021	-1.042	0.136	0.000	0.000	0.000	0.0000	0.000	0.000	6.800	-0.035	-0.262	-3.491	-8.3333E-4	-0.006	-0.083	6.800	-0.070	-0.349	-2.618	-0.0017	-0.008	-0.063
0.690	0.000	0.000	0.000	0.0000	0.000	0.000	0.690	0.087	0.000	2.776E-13	0.0021	0.000	4.684E-15	0.138	0.000	0.000	0.000	0.0000	0.000	0.000	6.900	-0.070	-0.611	-3.054	-0.0017	-0.015	-0.073	6.900	-0.122	-0.611	-2.182	-0.0029	-0.015	-0.052
0.700	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	0.087	0.873	43.633	0.0021	0.021	1.042	0.140	0.000	0.000	0.000	0.0000	0.000	0.000	7.000	-0.157	-0.873	-1.745	-0.0037	-0.021	-0.042	7.000	-0.192	-0.785	-1.309	-0.0046	-0.019	-0.031
0.710	0.000	0.000	0.000	0.0000	0.000	0.000	0.710	0.105	0.873	-43.633	0.0025	0.021	-1.042	0.142	0.000	0.000	0.000	0.0000	0.000	0.000	7.100	-0.244	-0.960	-0.436	-0.0058	-0.023	-0.010	7.100	-0.279	-0.873	0.436	-0.0067	-0.021	0.010
0.720	0.000	0.000	0.000	0.0000	0.000	0.000	0.720	0.105	0.000	-2.776E-13	0.0025	0.000	-4.684E-15	0.144	0.000	0.000	0.000	0.0000	0.000	0.000	7.200	-0.349	-0.960	1.309	-0.0083	-0.023	0.031	7.200	-0.367	-0.698	2.182	-0.0087	-0.017	0.052
0.730	0.000	0.000	0.000	0.0000	0.000	0.000	0.730	0.105	0.873	43.633	0.0025	0.021	1.042	0.146	0.000	0.000	0.000	0.0000	0.000	0.000	7.300	-0.436	-0.698	2.618	-0.0104	-0.017	0.062	7.300	-0.419	-0.436	2.182	-0.0100	-0.010	0.052
0.740	0.000	0.000	0.000	0.0000	0.000	0.000	0.740	0.122	0.873	-43.633	0.0029	0.021	-1.042	0.148	0.000	0.000	0.000	0.0000	0.000	0.000	7.400	-0.489	-0.436	3.054	-0.0117	-0.010	0.073	7.400	-0.454	-0.262	2.618	-0.0108	-0.006	0.063
0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	0.122	0.000	-43.633	0.0029	0.000	-1.042	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	7.500	-0.524	-0.087	3.491	-0.0125	-0.002	0.083	7.500	-0.471	0.087	3.491	-0.0112	0.002	0.083
0.760	0.000	0.000	0.000	0.0000	0.000	0.000	0.760	0.122	0.000	43.633	0.0029	0.000	1.042	0.152	0.000	0.000	0.000	0.0000	0.000	0.000	7.600	-0.506	0.262	3.491	-0.0121	0.006	0.083	7.600	-0.436	0.436	2.618	-0.0104	0.010	0.062
0.770	0.000	0.000	0.000	0.0000	0.000	0.000	0.770	0.122	0.873	43.633	0.0029	0.021	1.042	0.154	0.000	0.000	0.000	0.0000	0.000	0.000	7.700	-0.471	0.611	3.054	-0.0112	0.015	0.073	7.700	-0.384	0.611	1.745	-0.0092	0.015	0.042
0.780	0.000	0.000	0.000	0.0000	0.000	0.000	0.780	0.140	0.873	-43.633	0.0033	0.021	-1.042	0.156	0.000	0.000	0.000	0.0000	0.000	0.000	7.800	-0.384	0.873	1.309	-0.0092	0.021	0.031	7.800	-0.314	0.785	0.873	-0.0075	0.019	0.021
0.790	0.000	0.000	0.000	0.0000	0.000	0.000	0.790	0.140	0.000	3.331E-14	0.0033	0.000	0.000	0.158	0.000	0.000	0.000	0.0000	0.000	0.000	7.900	-0.297	0.873	1.943E-14	-0.0071	0.021	4.684E-16	7.900	-0.227	0.785	-0.436	-0.0054	0.019	-0.010
0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	0.140	0.873	43.633	0.0033	0.021	1.042	0.160	0.000	0.000	0.000	0.0000	0.000	0.000	8.000	-0.209	0.873	-0.436	-0.0050	0.021	-0.010	8.000	-0.157	0.698	-1.309	-0.0037	0.017	-0.031
0.810	0.000	0.000	0.000	0.0000	0.000	0.000	0.810	0.157	0.873	-43.633	0.0037	0.021	-1.042	0.162	0.000	0.000	0.000	0.0000	0.000	0.000	8.100	-0.122	0.785	-2.182	-0.0029	0.019	-0.052	8.100	-0.087	0.524	-2.618	-0.0021	0.012	-0.063
0.820	0.000	0.000	0.000	0.0000	0.000	0.000	0.820	0.157	0.000	-43.633	0.0037	0.000	-1.042	0.164	0.000	0.000	0.000	0.0000	0.000	0.000	8.200	-0.052	0.436	-3.491	-0.0012	0.010	-0.083	8.200	-0.052	0.175	-3.491	-0.0012	0.004	-0.083
